station_name,boarding_count,alighting_count,total_count,boarding_share
가남,3029,3086,6115,2.0917833080443246e-05
화성시청,2804,2622,5426,1.936401583280385e-05
남성현,2711,3020,5731,1.8721771370446232e-05
다시,2654,2854,5508,1.832813766771092e-05
석불,2643,3075,5718,1.8252173268937437e-05
신녕,2601,3137,5738,1.7962127382711416e-05
능주,2165,2215,4380,1.4951174849507965e-05
동두천,2120,2120,4240,1.4640411399980086e-05
승부,1858,2964,4822,1.2831077538284434e-05
수안보온천,1844,1779,3623,1.2734395576209093e-05
삼산,1705,1540,3245,1.1774481809889645e-05
이양,1517,1715,3232,1.0476181176306506e-05
명봉,1455,1385,2840,1.0048018201401426e-05
양원,1327,875,2202,9.16406883385546e-06
쌍룡,1306,726,2032,9.019045890742449e-06
의정부,1283,1283,2566,8.860211238761534e-06
신기,1196,850,2046,8.259401903007634e-06
현동,1122,1064,2186,7.748368674895121e-06
인주,1096,1123,2219,7.568816459612346e-06
정선,1081,1442,2523,7.465228643103053e-06
임진강,945,945,1890,6.526032440085463e-06
연풍,648,649,1297,4.474993673201461e-06
살미,578,517,1095,3.9915838628247595e-06
지탄,505,220,725,3.4874564891461997e-06
신창,401,671,1072,2.7692476280151014e-06
군위,387,360,747,2.672565665939761e-06
임기,332,221,553,2.2927436720723532e-06
문산,320,320,640,2.2098734188649186e-06
아우라지,306,410,716,2.1131914567895786e-06
도라산,303,303,606,2.09247389348772e-06
각계,245,51,296,1.6919343363184534e-06
나전,40,39,79,2.7623417735811483e-07
별어곡,11,7,18,7.596439877348157e-08
선평,3,2,5,2.0717563301858614e-08
서빙고,0,0,0,0.0
능곡,0,0,0,0.0
