date,name,is_holiday,date_kind,year,month,yearmonth
2017-08-15,광복절,True,01,2017,8,2017-08-01
2017-10-02,임시공휴일,True,01,2017,10,2017-10-01
2017-10-03,개천절,True,01,2017,10,2017-10-01
2017-10-03,추석,True,01,2017,10,2017-10-01
2017-10-04,추석,True,01,2017,10,2017-10-01
2017-10-05,추석,True,01,2017,10,2017-10-01
2017-10-06,대체공휴일,True,01,2017,10,2017-10-01
2017-10-09,한글날,True,01,2017,10,2017-10-01
2017-12-25,기독탄신일,True,01,2017,12,2017-12-01
2018-01-01,1월1일,True,01,2018,1,2018-01-01
2018-02-15,설날,True,01,2018,2,2018-02-01
2018-02-16,설날,True,01,2018,2,2018-02-01
2018-02-17,설날,True,01,2018,2,2018-02-01
2018-03-01,삼일절,True,01,2018,3,2018-03-01
2018-05-05,어린이날,True,01,2018,5,2018-05-01
2018-05-07,대체휴무일,True,01,2018,5,2018-05-01
2018-05-22,부처님오신날,True,01,2018,5,2018-05-01
2018-06-06,현충일,True,01,2018,6,2018-06-01
2018-06-13,전국동시지방선거,True,01,2018,6,2018-06-01
2018-08-15,광복절,True,01,2018,8,2018-08-01
2018-09-23,추석,True,01,2018,9,2018-09-01
2018-09-24,추석,True,01,2018,9,2018-09-01
2018-09-25,추석,True,01,2018,9,2018-09-01
2018-09-26,대체휴무일,True,01,2018,9,2018-09-01
2018-10-03,개천절,True,01,2018,10,2018-10-01
2018-10-09,한글날,True,01,2018,10,2018-10-01
2018-12-25,기독탄신일,True,01,2018,12,2018-12-01
2019-01-01,1월1일,True,01,2019,1,2019-01-01
2019-02-04,설날,True,01,2019,2,2019-02-01
2019-02-05,설날,True,01,2019,2,2019-02-01
2019-02-06,설날,True,01,2019,2,2019-02-01
2019-03-01,삼일절,True,01,2019,3,2019-03-01
2019-05-05,어린이날,True,01,2019,5,2019-05-01
2019-05-06,대체공휴일,True,01,2019,5,2019-05-01
2019-05-12,부처님오신날,True,01,2019,5,2019-05-01
2019-06-06,현충일,True,01,2019,6,2019-06-01
2019-08-15,광복절,True,01,2019,8,2019-08-01
2019-09-12,추석,True,01,2019,9,2019-09-01
2019-09-13,추석,True,01,2019,9,2019-09-01
2019-09-14,추석,True,01,2019,9,2019-09-01
2019-10-03,개천절,True,01,2019,10,2019-10-01
2019-10-09,한글날,True,01,2019,10,2019-10-01
2019-12-25,기독탄신일,True,01,2019,12,2019-12-01
2020-01-01,1월1일,True,01,2020,1,2020-01-01
2020-01-24,설날,True,01,2020,1,2020-01-01
2020-01-25,설날,True,01,2020,1,2020-01-01
2020-01-26,설날,True,01,2020,1,2020-01-01
2020-01-27,대체공휴일,True,01,2020,1,2020-01-01
2020-03-01,삼일절,True,01,2020,3,2020-03-01
2020-04-15,제21대 국회의원선거,True,01,2020,4,2020-04-01
2020-04-30,부처님오신날,True,01,2020,4,2020-04-01
2020-05-05,어린이날,True,01,2020,5,2020-05-01
2020-06-06,현충일,True,01,2020,6,2020-06-01
2020-08-15,광복절,True,01,2020,8,2020-08-01
2020-08-17,임시공휴일,True,01,2020,8,2020-08-01
2020-09-30,추석,True,01,2020,9,2020-09-01
2020-10-01,추석,True,01,2020,10,2020-10-01
2020-10-02,추석,True,01,2020,10,2020-10-01
2020-10-03,개천절,True,01,2020,10,2020-10-01
2020-10-09,한글날,True,01,2020,10,2020-10-01
2020-12-25,기독탄신일,True,01,2020,12,2020-12-01
2021-01-01,1월1일,True,01,2021,1,2021-01-01
2021-02-11,설날,True,01,2021,2,2021-02-01
2021-02-12,설날,True,01,2021,2,2021-02-01
2021-02-13,설날,True,01,2021,2,2021-02-01
2021-03-01,삼일절,True,01,2021,3,2021-03-01
2021-05-05,어린이날,True,01,2021,5,2021-05-01
2021-05-19,부처님오신날,True,01,2021,5,2021-05-01
2021-06-06,현충일,True,01,2021,6,2021-06-01
2021-08-15,광복절,True,01,2021,8,2021-08-01
2021-08-16,대체공휴일,True,01,2021,8,2021-08-01
2021-09-20,추석,True,01,2021,9,2021-09-01
2021-09-21,추석,True,01,2021,9,2021-09-01
2021-09-22,추석,True,01,2021,9,2021-09-01
2021-10-03,개천절,True,01,2021,10,2021-10-01
2021-10-04,대체공휴일,True,01,2021,10,2021-10-01
2021-10-09,한글날,True,01,2021,10,2021-10-01
2021-10-11,대체공휴일,True,01,2021,10,2021-10-01
2021-12-25,기독탄신일,True,01,2021,12,2021-12-01
2022-01-01,1월1일,True,01,2022,1,2022-01-01
2022-01-31,설날,True,01,2022,1,2022-01-01
2022-02-01,설날,True,01,2022,2,2022-02-01
2022-02-02,설날,True,01,2022,2,2022-02-01
2022-03-01,삼일절,True,01,2022,3,2022-03-01
2022-03-09,대통령선거일,True,01,2022,3,2022-03-01
2022-05-05,어린이날,True,01,2022,5,2022-05-01
2022-05-08,부처님오신날,True,01,2022,5,2022-05-01
2022-06-01,전국동시지방선거,True,01,2022,6,2022-06-01
2022-06-06,현충일,True,01,2022,6,2022-06-01
2022-08-15,광복절,True,01,2022,8,2022-08-01
2022-09-09,추석,True,01,2022,9,2022-09-01
2022-09-10,추석,True,01,2022,9,2022-09-01
2022-09-11,추석,True,01,2022,9,2022-09-01
2022-09-12,대체공휴일,True,01,2022,9,2022-09-01
2022-10-03,개천절,True,01,2022,10,2022-10-01
2022-10-09,한글날,True,01,2022,10,2022-10-01
2022-10-10,대체공휴일,True,01,2022,10,2022-10-01
2022-12-25,기독탄신일,True,01,2022,12,2022-12-01
2023-01-01,1월1일,True,01,2023,1,2023-01-01
2023-01-21,설날,True,01,2023,1,2023-01-01
2023-01-22,설날,True,01,2023,1,2023-01-01
2023-01-23,설날,True,01,2023,1,2023-01-01
2023-01-24,대체공휴일,True,01,2023,1,2023-01-01
2023-03-01,삼일절,True,01,2023,3,2023-03-01
2023-05-05,어린이날,True,01,2023,5,2023-05-01
2023-05-27,부처님오신날,True,01,2023,5,2023-05-01
2023-05-29,대체공휴일,True,01,2023,5,2023-05-01
2023-06-06,현충일,True,01,2023,6,2023-06-01
2023-08-15,광복절,True,01,2023,8,2023-08-01
2023-09-28,추석,True,01,2023,9,2023-09-01
2023-09-29,추석,True,01,2023,9,2023-09-01
2023-09-30,추석,True,01,2023,9,2023-09-01
2023-10-02,임시공휴일,True,01,2023,10,2023-10-01
2023-10-03,개천절,True,01,2023,10,2023-10-01
2023-10-09,한글날,True,01,2023,10,2023-10-01
2023-12-25,기독탄신일,True,01,2023,12,2023-12-01
2024-01-01,1월1일,True,01,2024,1,2024-01-01
2024-02-09,설날,True,01,2024,2,2024-02-01
2024-02-10,설날,True,01,2024,2,2024-02-01
2024-02-11,설날,True,01,2024,2,2024-02-01
2024-02-12,대체공휴일(설날),True,01,2024,2,2024-02-01
2024-03-01,삼일절,True,01,2024,3,2024-03-01
2024-04-10,국회의원선거,True,01,2024,4,2024-04-01
2024-05-05,어린이날,True,01,2024,5,2024-05-01
2024-05-06,대체공휴일(어린이날),True,01,2024,5,2024-05-01
2024-05-15,부처님오신날,True,01,2024,5,2024-05-01
2024-06-06,현충일,True,01,2024,6,2024-06-01
2024-08-15,광복절,True,01,2024,8,2024-08-01
2024-09-16,추석,True,01,2024,9,2024-09-01
2024-09-17,추석,True,01,2024,9,2024-09-01
2024-09-18,추석,True,01,2024,9,2024-09-01
2024-10-01,임시공휴일,True,01,2024,10,2024-10-01
2024-10-03,개천절,True,01,2024,10,2024-10-01
2024-10-09,한글날,True,01,2024,10,2024-10-01
2024-12-25,기독탄신일,True,01,2024,12,2024-12-01
