source_date,station_name,unit,boarding_count,alighting_count,total_count
2024-12-31,진례,명,3981,4861,8842
2024-12-31,신동,명,3970,4721,8691
2024-12-31,용궁,명,3746,3972,7718
2024-12-31,대야,명,3608,3598,7206
2024-12-31,무안,명,3378,4293,7671
2024-12-31,청리,명,3266,2864,6130
2024-12-31,합덕,명,3246,3139,6385
2024-12-31,삼탄,명,3195,3308,6503
2024-12-31,북영천,명,3030,3246,6276
2024-12-31,가남,명,3029,3086,6115
2024-12-31,화성시청,명,2804,2622,5426
2024-12-31,남성현,명,2711,3020,5731
2024-12-31,다시,명,2654,2854,5508
2024-12-31,석불,명,2643,3075,5718
2024-12-31,신녕,명,2601,3137,5738
2024-12-31,능주,명,2165,2215,4380
2024-12-31,동두천,명,2120,2120,4240
2024-12-31,승부,명,1858,2964,4822
2024-12-31,수안보온천,명,1844,1779,3623
2024-12-31,삼산,명,1705,1540,3245
2024-12-31,이양,명,1517,1715,3232
2024-12-31,명봉,명,1455,1385,2840
2024-12-31,양원,명,1327,875,2202
2024-12-31,쌍룡,명,1306,726,2032
2024-12-31,의정부,명,1283,1283,2566
2024-12-31,신기,명,1196,850,2046
2024-12-31,현동,명,1122,1064,2186
2024-12-31,인주,명,1096,1123,2219
2024-12-31,정선,명,1081,1442,2523
2024-12-31,임진강,명,945,945,1890
2024-12-31,연풍,명,648,649,1297
2024-12-31,살미,명,578,517,1095
2024-12-31,지탄,명,505,220,725
2024-12-31,신창,명,401,671,1072
2024-12-31,군위,명,387,360,747
2024-12-31,임기,명,332,221,553
2024-12-31,문산,명,320,320,640
2024-12-31,아우라지,명,306,410,716
2024-12-31,도라산,명,303,303,606
2024-12-31,각계,명,245,51,296
2024-12-31,나전,명,40,39,79
2024-12-31,별어곡,명,11,7,18
2024-12-31,선평,명,3,2,5
2024-12-31,능곡,명,0,0,0
2024-12-31,서빙고,명,0,0,0
