노선,ds,yhat,yhat_lower,yhat_upper,target
경전선,2024-12-01,-6.491968635845738,-28.05999624736712,14.092529204582105,공실률
경전선,2025-01-01,1.1075436636526472,-19.87389308115999,21.39366370684915,공실률
경전선,2025-02-01,-0.5955055138873937,-22.29281637826884,23.163526823096483,공실률
경전선,2025-03-01,5.86962477319139,-14.655973085820131,26.252975990243385,공실률
경전선,2025-04-01,-4.108276082487893,-25.803826642897224,14.69356953836776,공실률
경전선,2025-05-01,-8.453209567595424,-30.32823989131751,11.185551225627686,공실률
경전선,2025-06-01,-2.6822623120135445,-22.63133143756605,16.91539904230204,공실률
경전선,2025-07-01,-0.8395419031132829,-22.31058745361066,19.43184990698795,공실률
경전선,2025-08-01,-1.5213345291409794,-22.132453585938425,20.87522297364785,공실률
경전선,2025-09-01,-3.624886345415562,-25.147630055383246,16.409472394655044,공실률
경전선,2025-10-01,-9.938102872040767,-30.08403874569928,12.267722864714285,공실률
경전선,2025-11-01,-13.27784034406503,-35.092539356955555,7.327151421392494,공실률
경전선,2025-12-01,-7.086822279932246,-28.73516462978438,13.220938973421866,공실률
동해선,2016-04-01,-2.0312704041153893,-35.276517699697635,31.539860904978894,공실률
동해선,2016-05-01,-10.634961621988442,-43.75261680202093,22.92993894252392,공실률
동해선,2016-06-01,-8.7998670070491,-40.61435338518698,22.054663649981173,공실률
동해선,2016-07-01,-8.249186174969644,-41.68744182990672,23.035489592019097,공실률
동해선,2016-08-01,-9.423058353291776,-42.50919165986815,22.649899666206554,공실률
동해선,2016-09-01,-8.100545787371631,-41.366621752214016,23.47556837364922,공실률
동해선,2016-10-01,-13.334030094397306,-45.69987227149458,19.943108524567993,공실률
동해선,2016-11-01,-19.338609771845007,-52.49388934610591,14.729706841972593,공실률
동해선,2016-12-01,-14.331890275062312,-45.87966340402793,18.93451139503811,공실률
동해선,2017-01-01,-2.8631314692178567,-34.3671859020216,26.845456130380345,공실률
동해선,2017-02-01,-2.5107941225695765,-35.91360947550361,28.4293306250851,공실률
동해선,2017-03-01,5.454809325665503,-28.525336636681715,37.355203945661806,공실률
동해선,2017-04-01,-1.9070220863726215,-34.46162955982852,32.703029153277384,공실률
동해선,2017-05-01,-10.360570299185872,-43.91029162567786,20.194796044975053,공실률
동해선,2017-06-01,-8.37669444229127,-41.98455227690434,24.622847175978205,공실률
동해선,2017-07-01,-7.846152666956552,-41.63767113242246,24.973724576201356,공실률
동해선,2017-08-01,-9.048019385189688,-41.41360992083335,23.46972952711556,공실률
동해선,2017-09-01,-7.828140983764499,-39.68326200837289,25.85454881751109,공실률
동해선,2017-10-01,-13.178608588835106,-44.31687535780353,20.022320669683143,공실률
동해선,2017-11-01,-19.12572262396909,-49.373104333455245,11.88124883394085,공실률
동해선,2017-12-01,-14.077846445055938,-46.62920220404274,18.352640979774954,공실률
동해선,2018-01-01,-2.515209785539823,-33.321878700465234,29.975397665679598,공실률
동해선,2018-02-01,-2.023099838933711,-36.12277788244171,28.76058747262772,공실률
동해선,2018-03-01,5.586858847567906,-26.500223437223116,39.066248522054636,공실률
동해선,2018-04-01,-1.7818743787410058,-29.717007600502463,30.686578254250275,공실률
동해선,2018-05-01,-10.077854463721536,-41.27499485736889,20.889738281564448,공실률
동해선,2018-06-01,-7.949696514844711,-40.67119525877355,24.3965119518096,공실률
동해선,2018-07-01,-7.444477679213999,-39.959221228524186,26.82926821721774,공실률
동해선,2018-08-01,-8.676666085809575,-42.50641740388812,21.82520376633727,공실률
동해선,2018-09-01,-7.56193517325565,-39.76578630877909,24.91922246031894,공실률
동해선,2018-10-01,-13.023895152821353,-43.854618138750574,18.964022560301554,공실률
동해선,2018-11-01,-18.90734511634363,-52.95534125036527,12.627564023482352,공실률
동해선,2018-12-01,-13.818321048530567,-44.11316499628636,19.04276215425645,공실률
동해선,2019-01-01,-2.166060944838665,-34.881395288587825,28.63192828226843,공실률
동해선,2019-02-01,-1.5375367466418295,-33.32614422779981,28.098385671699408,공실률
동해선,2019-03-01,5.7102526711337065,-26.505796415667408,36.845170727187856,공실률
동해선,2019-04-01,-1.6554683931218417,-32.616699800699756,30.373646587456054,공실률
동해선,2019-05-01,-9.786750206150344,-42.05029873661918,21.717612524024073,공실률
동해선,2019-06-01,-7.5190811962001325,-40.76572053133537,25.750459716803782,공실률
동해선,2019-07-01,-7.044368549300584,-37.479304699522416,24.81936636868987,공실률
동해선,2019-08-01,-8.309124884067423,-38.86693061890459,27.152458121353565,공실률
동해선,2019-09-01,-7.301852522430239,-39.40853461683646,25.647901845262506,공실률
동해선,2019-10-01,-12.869611706591721,-46.363661918148,18.745251744441568,공실률
동해선,2019-11-01,-18.68332884633128,-50.00639855496368,12.725180109731456,공실률
동해선,2019-12-01,-13.553400447894518,-44.532530030759034,20.172287803497685,공실률
동해선,2020-01-01,-1.8159044408918072,-33.21236735727764,30.321880545954997,공실률
동해선,2020-02-01,-1.0544079681081762,-31.72628434708373,32.73268324715791,공실률
동해선,2020-03-01,6.47238685979538,-26.867643889765137,39.14363567729754,공실률
동해선,2020-04-01,-0.8727764399574394,-33.30120499103743,30.45822701355947,공실률
동해선,2020-05-01,-9.4764676707614,-39.29736889071746,22.493189867073554,공실률
동해선,2020-06-01,-7.641373069182006,-39.67101998499291,26.528575362816422,공실률
동해선,2020-07-01,-7.090712771965812,-39.77382523613582,24.691479169171085,공실률
동해선,2020-08-01,-8.26460616886179,-42.04825379874147,25.351986294156436,공실률
동해선,2020-09-01,-6.9421148215117405,-42.61274719513962,25.808398896707867,공실률
동해선,2020-10-01,-12.17564348371761,-44.599391420660034,21.390711266158966,공실률
동해선,2020-11-01,-18.180268994848657,-51.66387572656138,12.080150254035635,공실률
동해선,2020-12-01,-13.173593855192529,-45.72579149066875,23.938244051089498,공실률
동해선,2021-01-01,-1.7048808844807395,-32.62929293627088,33.07190891914685,공실률
동해선,2021-02-01,-1.3525893729678264,-34.59647637771536,30.878601893600013,공실률
동해선,2021-03-01,6.612972676813143,-24.96931458128433,39.12461907332074,공실률
동해선,2021-04-01,-0.7489045692245071,-31.975437240113916,33.658088020882296,공실률
